Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
package,16,0.000213,0.001799
blood,3,0.000040,0.000404
flow,4,0.000053,0.000523
breath,7,0.000093,0.000864
uncomfortable,55,0.000731,0.005281
jr,3,0.000040,0.000404
nervous,3,0.000040,0.000404
internet,5,0.000066,0.000639
retro,21,0.000279,0.002285
head,11,0.000146,0.001292
turner,4,0.000053,0.000523
told,25,0.000332,0.002662
bucks,9,0.000120,0.001081
let,26,0.000346,0.002755
nearly,7,0.000093,0.000864
cheap,34,0.000452,0.003482
regrets,5,0.000066,0.000639
holes,58,0.000771,0.005528
rubber,22,0.000293,0.002380
experience,34,0.000452,0.003482
sturdy,15,0.000199,0.001699
doing,26,0.000346,0.002755
rounds,15,0.000199,0.001699
accurate,17,0.000226,0.001898
estimate,3,0.000040,0.000404
july,5,0.000066,0.000639
thy,3,0.000040,0.000404
lucky,5,0.000066,0.000639
kids,46,0.000612,0.004526
stores,39,0.000519,0.003923
hopes,4,0.000053,0.000523
beginning,8,0.000106,0.000973
school,75,0.000997,0.006892
thinking,15,0.000199,0.001699
lite,13,0.000173,0.001497
styles,6,0.000080,0.000753
worked,24,0.000319,0.002569
stop,19,0.000253,0.002093
disappoint,10,0.000133,0.001187
lets,8,0.000106,0.000973
attractive,10,0.000133,0.001187
sleek,4,0.000053,0.000523
sports,28,0.000372,0.002940
appropriate,4,0.000053,0.000523
grew,6,0.000080,0.000753
shorter,8,0.000106,0.000973
swell,3,0.000040,0.000404
soon,27,0.000359,0.002848
ðŸ¯,3,0.000040,0.000404
needs,26,0.000346,0.002755
asking,10,0.000133,0.001187
overall,99,0.001316,0.008732
usual,33,0.000439,0.003393
slipping,13,0.000173,0.001497
hitting,4,0.000053,0.000523
gift,92,0.001223,0.008204
provide,54,0.000718,0.005198
tailwind,7,0.000093,0.000864
broke,27,0.000359,0.002848
seeing,10,0.000133,0.001187
wider,65,0.000864,0.006096
wished,7,0.000093,0.000864
cm,4,0.000053,0.000523
space,10,0.000133,0.001187
pointed,4,0.000053,0.000523
rounded,4,0.000053,0.000523
slight,8,0.000106,0.000973
doctor,5,0.000066,0.000639
mainly,5,0.000066,0.000639
fashion,10,0.000133,0.001187
asics,18,0.000239,0.001996
gladly,3,0.000040,0.000404
ships,4,0.000053,0.000523
american,3,0.000040,0.000404
products,13,0.000173,0.001497
shows,15,0.000199,0.001699
words,4,0.000053,0.000523
bulky,5,0.000066,0.000639
high,118,0.001569,0.010132
fix,14,0.000186,0.001599
general,12,0.000160,0.001395
theres,17,0.000226,0.001898
talk,3,0.000040,0.000404
feed,3,0.000040,0.000404
friend,25,0.000332,0.002662
cushioned,19,0.000253,0.002093
older,15,0.000199,0.001699
relatively,6,0.000080,0.000753
durable,67,0.000891,0.006257
actual,26,0.000346,0.002755
length,29,0.000386,0.003031
previous,31,0.000412,0.003213
puma,6,0.000080,0.000753
require,8,0.000106,0.000973
choice,30,0.000399,0.003122
runner,24,0.000319,0.002569
stretch,49,0.000652,0.004780
especially,45,0.000598,0.004441
hospital,3,0.000040,0.000404
heavier,6,0.000080,0.000753
continue,15,0.000199,0.001699
working,32,0.000426,0.003303
smart,6,0.000080,0.000753
present,15,0.000199,0.001699
wears,112,0.001489,0.009694
clown,5,0.000066,0.000639
exchanged,5,0.000066,0.000639
inch,10,0.000133,0.001187
forgot,7,0.000093,0.000864
mention,10,0.000133,0.001187
issue,39,0.000519,0.003923
likes,71,0.000944,0.006576
store,83,0.001104,0.007515
green,21,0.000279,0.002285
bright,37,0.000492,0.003748
legit,17,0.000226,0.001898
dope,20,0.000266,0.002189
tends,7,0.000093,0.000864
roomy,5,0.000066,0.000639
enjoying,8,0.000106,0.000973
cloud,7,0.000093,0.000864
glove,35,0.000465,0.003571
tab,3,0.000040,0.000404
original,34,0.000452,0.003482
sale,17,0.000226,0.001898
item,74,0.000984,0.006813
fastest,3,0.000040,0.000404
jus,5,0.000066,0.000639
away,44,0.000585,0.004355
compared,32,0.000426,0.003303
massage,5,0.000066,0.000639
greatbr,7,0.000093,0.000864
update,18,0.000239,0.001996
weeks,31,0.000412,0.003213
blew,4,0.000053,0.000523
warranty,3,0.000040,0.000404
holds,7,0.000093,0.000864
current,12,0.000160,0.001395
difference,15,0.000199,0.001699
tear,16,0.000213,0.001799
fabric,21,0.000279,0.002285
gotten,38,0.000505,0.003835
alot,15,0.000199,0.001699
gymbr,3,0.000040,0.000404
noticeable,8,0.000106,0.000973
glue,21,0.000279,0.002285
mesh,45,0.000598,0.004441
